84	87	78	0.79844
94	36	87	0.76823
50	22	63	0.628871
91	60	64	0.916195
41	27	73	0.606969
12	69	68	0.804177
83	31	63	0.108809
68	36	30	0.839112
23	59	70	0.524287
94	57	12	0.771358
30	74	22	0.891529
85	38	99	0.919026
16	71	14	0.0860558
92	81	57	0.348893
63	71	97	0.0630958
6	26	85	0.85092
37	6	47	0.760249
14	58	25	0.0392803
83	46	15	0.720952
35	65	44	0.354049
88	9	77	0.880075
89	85	4	0.893372
55	100	33	0.58864
77	69	40	0.92397
27	87	95	0.910972
96	71	35	0.920128
68	2	98	0.431953
18	93	53	0.307458
2	81	87	0.276235
66	90	45	0.906804
41	30	32	0.760475
98	72	82	0.383188
10	28	68	0.232262
98	54	87	0.732149
7	84	20	0.745071
29	72	33	0.521563
4	20	71	0.732654
9	16	41	0.759735
97	24	19	0.0782321
47	52	22	0.819677
80	89	65	0.157807
42	51	94	0.125468
35	65	25	0.0723288
88	57	44	0.180372
28	66	60	0.819695
33	52	38	0.452576
76	8	75	0.757294
59	96	30	0.877614
36	94	19	0.747803
44	12	29	0.831038
77	5	44	0.983596
14	39	7	0.830012
5	19	29	0.248044
70	18	18	0.316867
25	44	71	0.633072
91	100	73	0.971466
45	91	6	0.113281
55	87	70	0.450918
43	65	98	0.00323146
56	5	49	0.233892
23	29	100	0.304956
47	69	41	0.0408643
12	11	6	0.63764
62	31	79	0.627158
21	37	45	0.202213
23	66	9	0.257265
83	59	25	0.877384
63	25	1	0.361601
53	100	80	0.288778
69	72	74	0.189751
82	31	34	0.331479
61	64	100	0.91893
100	97	60	0.685786
14	69	91	0.916273
27	67	85	0.548042
91	85	77	0.873979
37	8	46	0.273911
80	19	88	0.848942
49	73	60	0.684178
37	11	43	0.492422
7	2	14	0.221966
22	56	20	0.360443
22	5	40	0.622095
41	68	6	0.334972
28	51	85	0.258906
21	25	23	0.647207
97	82	31	0.0911486
93	73	73	0.265461
26	86	23	0.157272
41	43	99	0.207844
99	91	25	0.394388
10	82	20	0.638654
33	56	95	0.136075
80	70	74	0.774386
51	56	61	0.721006
80	85	94	0.707909
22	68	5	0.0939195
62	55	27	0.65712
45	3	3	0.0534223
85	22	43	0.44256
